,pred_res_0,pred_res_1,pred_res_2,pred_res_3,pred_res_4
2022-11-23 13:00:00+00:00,-0.18221775,-0.18871564,-0.19192427,-0.17317465,-0.19646731
2022-11-23 14:00:00+00:00,-0.18379822,-0.18966866,-0.19314858,-0.17500645,-0.19717729
2022-11-23 15:00:00+00:00,-0.18580386,-0.18992203,-0.19467643,-0.17710686,-0.19788396
2022-11-23 16:00:00+00:00,-0.18802315,-0.19040254,-0.19661182,-0.17955789,-0.19906518
2022-11-23 17:00:00+00:00,-0.19014281,-0.19224328,-0.19916841,-0.18195271,-0.20053402
2022-11-23 18:00:00+00:00,-0.1912246,-0.19420227,-0.20146334,-0.18379685,-0.20182359
2022-11-23 19:00:00+00:00,-0.19078502,-0.19565672,-0.20360616,-0.18422821,-0.20248297
2022-11-23 20:00:00+00:00,-0.18962735,-0.19737431,-0.20491967,-0.18385634,-0.20242366
2022-11-23 21:00:00+00:00,-0.18801537,-0.19895053,-0.20515382,-0.18302262,-0.20180178
2022-11-23 22:00:00+00:00,-0.18668675,-0.20017824,-0.20418847,-0.18223831,-0.20029777
2022-11-23 23:00:00+00:00,-0.18578902,-0.1999113,-0.20267403,-0.18195346,-0.1989404
2022-11-24 00:00:00+00:00,-0.1852924,-0.19827238,-0.20130333,-0.18183383,-0.19790009
2022-11-24 01:00:00+00:00,-0.18528768,-0.1975841,-0.20106691,-0.18188316,-0.1978007
2022-11-24 02:00:00+00:00,-0.18524277,-0.19702289,-0.20124492,-0.18173096,-0.19795927
2022-11-24 03:00:00+00:00,-0.1842846,-0.19657487,-0.20154944,-0.18066385,-0.19830427
